id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm88077,Great Expectations,MOVIE,"In this Dickens adaptation, orphan Pip discovers through lawyer Mr. Jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. Reunited with his childhood patron, Miss Havisham, and his first love, the beautiful but emotionally cold Estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker.",1947,,118,"['drama', 'romance']",['GB'],,tt0038574,7.8,25130.0,15.049,7.23
tm122846,The Kid,MOVIE,A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.,1921,,68,"['comedy', 'drama', 'family']",['US'],,tt0012349,8.3,128096.0,14.865,8.212
tm8232,The Lady Vanishes,MOVIE,"On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris befriends elderly Miss Froy. When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly.",1938,,97,['thriller'],['GB'],,tt0030341,7.8,54135.0,12.551,7.505
tm145237,Battleship Potemkin,MOVIE,"A dramatized account of a great Russian naval mutiny and a resultant public demonstration, showing support, which brought on a police massacre. The film had an incredible impact on the development of cinema and is a masterful example of montage editing.",1925,,70,"['drama', 'thriller', 'war', 'history']",['SU'],,tt0015648,7.9,58986.0,14.943,7.6
tm4529,To Have and Have Not,MOVIE,A Martinique charter boat skipper gets mixed up with the underground French resistance operatives during WWII.,1945,,100,"['romance', 'thriller', 'war', 'comedy']",['US'],,tt0037382,7.8,35886.0,9.352,7.449
tm52402,City Lights,MOVIE,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",1931,G,87,"['comedy', 'drama', 'romance']",['US'],,tt0021749,8.5,186891.0,14.908,8.341
tm166715,Top Hat,MOVIE,"Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace's hotel room, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace.",1935,,101,"['comedy', 'romance']",['US'],,tt0027125,7.7,19726.0,9.526,7.3
ts80171,Looney Tunes,SHOW,"Looney Tunes is an American animated series of comedy short films produced by Warner Bros. from 1929 to 1969 during the golden age of American animation, alongside its sister series Merrie Melodies.",1929,,7,"['comedy', 'family', 'thriller', 'animation']",[],17.0,tt21241746,8.8,314.0,0.368599,9.0
tm7281,Safety Last!,MOVIE,"When a store clerk organizes a contest to climb the outside of a tall building, circumstances force him to make the perilous climb himself.",1923,,70,"['action', 'comedy', 'romance', 'thriller']",['US'],,tt0014429,8.1,21317.0,15.757,7.9
tm2838,The Most Dangerous Game,MOVIE,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",1932,PG-13,63,"['action', 'thriller', 'horror']",['US'],,tt0023238,7.1,12996.0,10.078,7.0
tm146874,The Freshman,MOVIE,"Harold Lamb is so excited about going to college that he has been working to earn spending money, practicing college yells, and learning a special way of introducing himself that he saw in a movie. When he arrives at Tate University, he soon becomes the target of practical jokes and ridicule. With the help of his one real friend Peggy, he resolves to make every possible effort to become popular.",1925,,76,"['comedy', 'music', 'romance', 'sport', 'family']",['US'],,tt0015841,7.5,5741.0,6.533,7.049
tm75346,To Be or Not to Be,MOVIE,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",1942,G,99,"['comedy', 'european', 'romance', 'war']",['US'],,tt0035446,8.2,38899.0,14.307,7.898
tm104511,Two Monks,MOVIE,"In a Gothic-styled monastery, a monk named Javier sees the face of another monk, Juan, and suddenly attempts to bludgeon him to death with a heavy crucifix. Both men then relate their own versions of a story of romantic rivalry between them.",1935,,85,"['drama', 'horror', 'romance']",['MX'],,tt0025062,7.0,593.0,2.028,6.1
tm80361,The Thief of Bagdad,MOVIE,"When Prince Ahmad is blinded and cast out of Bagdad by the nefarious Jaffar, he joins forces with the scrappy thief Abu to win back his royal place, as well as the heart of a beautiful princess.",1940,,106,"['action', 'fantasy', 'romance', 'family']",['GB'],,tt0033152,7.4,13695.0,10.58,7.1
tm62467,Sabotage,MOVIE,Karl Anton Verloc and his wife own a small cinema in a quiet London suburb where they live seemingly happily. But Mrs. Verloc does not know that her husband has a secret that will affect their relationship and threaten her teenage brother's life.,1937,,77,"['drama', 'thriller', 'crime']",['GB'],,tt0028212,7.0,17584.0,7.175,6.709
tm79235,That Hamilton Woman,MOVIE,"The story of courtesan and dance-hall girl Emma Hamilton, including her relationships with Sir William Hamilton and Admiral Horatio Nelson and her rise and fall, set during the Napoleonic Wars.",1941,,125,"['drama', 'romance', 'war', 'history']",['US'],,tt0034272,7.2,4754.0,6.176,7.2
tm18358,The Seventh Veil,MOVIE,A concert pianist with amnesia fights to regain her memory.,1945,,94,"['drama', 'music']",['GB'],,tt0038924,6.7,2151.0,3.64,6.3
tm117059,A Day in the Country,MOVIE,"The family of a Parisian shop-owner spends a day in the country. The daughter falls in love with a man at the inn, where they spend the day.",1946,,41,"['drama', 'romance', 'comedy']",['FR'],,,,,7.881,7.346
tm118404,Modern Times,MOVIE,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936,G,87,"['drama', 'comedy', 'romance', 'family']",['US'],,tt0027977,8.5,245699.0,16.731,8.314
tm13007,Whimsical Illusions,MOVIE,"In this hand-colored short, a magician and his assistant do a series of magic tricks, including making potted plants appear, among others. Melies played the magician, and the actor Manuel played his assistant.",1909,,5,"['fantasy', 'comedy']",['FR'],,,,,1.003,6.2
tm106357,Sunnyside,MOVIE,An overworked farmhand who works also at the adjacent hotel dreams of marrying the village belle.,1919,,33,['comedy'],['US'],,,,,3.882,6.5
tm20341,"Rome, Open City",MOVIE,"During the Nazi occupation of Rome in 1944, the leader of the Resistance is chased by the Nazis as he seeks refuge and a way to escape.",1945,,100,"['drama', 'european', 'thriller', 'war']",['IT'],,tt0038890,8.0,27328.0,12.184,8.0
tm18203,The Lodger: A Story of the London Fog,MOVIE,"London. A mysterious serial killer brutally murders young blond women by stalking them in the night fog. One foggy, sinister night, a young man who claims his name is Jonathan Drew arrives at the guest house run by the Bunting family and rents a room.",1927,,91,"['thriller', 'drama', 'crime']",['GB'],,tt0017075,7.3,12435.0,8.558,7.183
tm138416,The Private Life of Henry VIII,MOVIE,"Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.",1933,,90,"['comedy', 'drama', 'romance', 'history']",['GB'],,tt0024473,7.0,4528.0,3.802,6.407
tm132332,Gold Diggers of 1933,MOVIE,"Things get tough for Carol and her showgirl pals, Trixie and Polly, when the Great Depression kicks in and all the Broadway shows close down. Wealthy songwriter Brad saves the day by funding a new Depression-themed musical for the girls to star in, but when his stuffy high-society brother finds out and threatens to disown Brad, Carol and her gold-digging friends scheme to keep the show going, hooking a couple of millionaires along the way.",1930,,97,"['comedy', 'drama']",['US'],,tt0211298,7.7,8593.0,8.322,7.226
tm61343,Little Women,MOVIE,"Louisa May Alcott's autobiographical account of her life with her three sisters in Concord Mass in the 1860s. With their father fighting in the civil war, the sisters: Jo, Meg, Amy and Beth are at home with their mother - a very outspoken women for her time. The story is of how the sisters grow up, find love and find their place in the world.",1949,,121,"['drama', 'romance', 'family']",['US'],,tt0041594,7.2,7801.0,13.738,7.4
tm15621,Brief Encounter,MOVIE,"Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.",1945,,86,"['drama', 'romance']",['GB'],,tt0037558,8.0,41309.0,10.019,7.8
tm71654,I Married a Witch,MOVIE,"Rocksford, New England, 1672. Puritan witch hunter Jonathan Wooley is cursed after burning a witch at the stake: his descendants will never find happiness in their marriages. At present, politician Wallace Wooley, who is running for state governor, is about to marry his sponsor's daughter.",1942,,74,"['comedy', 'romance', 'fantasy']",['US'],,tt0034881,7.1,8698.0,7.871,6.81
tm94100,Odd Man Out,MOVIE,Belfast police conduct a door-to-door manhunt for an IRA gunman wounded in a daring robbery.,1947,,116,"['thriller', 'crime', 'drama']",['GB'],,tt0039677,7.7,10609.0,7.373,7.376
tm72458,The Impossible Voyage,MOVIE,"Using every known means of transportation, several savants from the Geographic Society undertake a journey through the Alps to the Sun which finishes under the sea.",1904,,20,"['scifi', 'fantasy']",['FR'],,,,,7.456,7.264
tm123253,The Immigrant,MOVIE,An European immigrant endures a challenging voyage only to get into trouble as soon as he arrives in New York.,1917,,24,['comedy'],['US'],,,,,7.529,7.351
tm63925,Orpheus,MOVIE,"At the Café des Poètes in Paris, a fight breaks out between the poet Orphée and a group of resentful upstarts. A rival poet, Cègeste, is killed, and a mysterious princess insists on taking Orpheus and the body away in her Rolls-Royce. Orphée soon finds himself in the underworld, where the Princess announces that she is, in fact, Death. Orpheus escapes in the car back to the land of the living, only to become obsessed with the car radio.",1950,,95,"['drama', 'romance', 'fantasy', 'european']",['FR'],,tt0041719,7.9,12668.0,6.23,7.573
tm3293,The Passion of Joan of Arc,MOVIE,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",1928,,110,"['drama', 'european', 'history']",['FR'],,tt0019254,8.2,56455.0,11.622,8.1
tm1200,49th Parallel,MOVIE,"In the early days of World War II, a German U-boat is sunk in Canada's Hudson Bay. Hoping to evade capture, a small band of German soldiers led by commanding officer Lieutenant Hirth attempts to cross the border into the United States, which has not yet entered the war and is officially neutral. Along the way, the German soldiers encounter brave men such as a French-Canadian fur trapper, Johnnie, a leader of a Hutterite farming community, Peter, an author, Philip and a soldier, Andy Brock.",1941,,123,"['thriller', 'drama', 'war']",['GB'],,tt0033627,7.3,7040.0,6.091,7.0
tm61524,Late Spring,MOVIE,"Noriko is perfectly happy living at home with her widowed father, Shukichi, and has no plans to marry -- that is, until her aunt Masa convinces Shukichi that unless he marries off his 27-year-old daughter soon, she will likely remain alone for the rest of her life. When Noriko resists Masa's matchmaking, Shukichi is forced to deceive his daughter and sacrifice his own happiness to do what he believes is right.",1949,,108,['drama'],['JP'],,tt0041154,8.2,17716.0,7.051,8.04
tm6558,Pygmalion,MOVIE,"When linguistics professor Henry Higgins boasts that he can pass off Cockney flower girl Eliza Doolittle as a princess with only six months' training, Colonel George Pickering takes him up on the bet. Eliza moves into Higgins's home and begins her rigorous training after the professor comes to a financial agreement with her dustman father, Alfred. But the plucky young woman is not the only one undergoing a transformation.",1939,,96,"['comedy', 'drama', 'romance']",['GB'],,tt0030637,7.8,9053.0,5.029,7.019
tm7868,The Naked City,MOVIE,"The Naked City portrays the police investigation that follows the murder of a young model. A veteran cop is placed in charge of the case and he sets about, with the help of other beat cops and detectives, finding the girl's killer.",1948,,96,"['thriller', 'crime', 'drama']",['US'],,tt0040636,7.6,14308.0,7.25,7.244
tm3805,Vampyr,MOVIE,"Traveler Allan Gray arrives in the village of Courtempierre and takes lodgings in a small inn. Gray has a great interest in the supernatural, particularly vampires. He's barely settled in when he feels a sinister force descending upon him. In the night an old man enters his room to tell him 'she must not die'. One of the old man's daughters, Leone, has been bitten by a vampire. In order to break the curse, Gray and Leone's sister Gisele must find the original vampire and drive a stake through her heart.",1932,,75,"['horror', 'european', 'fantasy']","['DE', 'FR']",,tt0023649,7.4,19097.0,10.06,7.3
tm85292,Nanook of the North,MOVIE,"This pioneering documentary film depicts the lives of the indigenous Inuit people of Canada's northern Quebec region. Although the production contains some fictional elements, it vividly shows how its resourceful subjects survive in such a harsh climate, revealing how they construct their igloo homes and find food by hunting and fishing. The film also captures the beautiful, if unforgiving, frozen landscape of the Great White North, far removed from conventional civilization.",1922,,79,['documentation'],"['US', 'FR']",,tt0013427,7.6,12775.0,10.036,7.068
tm4032,Hamlet,MOVIE,"Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier’s Hamlet continues to be the most compelling version of Shakespeare’s beloved tragedy. Olivier is at his most inspired—both as director and as the melancholy Dane himself—as he breathes new life into the words of one of the world’s greatest dramatists.",1948,,155,['drama'],['GB'],,tt0040416,7.6,17436.0,7.317,7.5
tm3635,Speedy,MOVIE,"Speedy loses his job as a soda jerk, then spends the day with his girl at Coney Island. He then becomes a cab driver and delivers Babe Ruth to Yankee Stadium, where he stays to see the game. When the railroad tries to run the last horse-drawn trolley (operated by his girl's grandfather) out of business, Speedy organizes the neighborhood old-timers to thwart their scheme.",1928,,85,"['comedy', 'family', 'action']",['US'],,tt0019412,7.6,3964.0,5.71,7.4
tm98488,Adventures of the Scarlet Pimpernel - Volume 1,MOVIE,,1934,,97,['drama'],['GB'],,tt0025748,7.3,4463.0,5.377,7.1
tm4647,"Germany, Year Zero",MOVIE,"In the ruins of post-WWII Berlin, a twelve-year-old boy is left to his own devices in order to help provide for his family.",1949,,72,"['drama', 'european', 'war']","['DE', 'IT', 'FR']",,tt0039417,7.8,12801.0,18.104,7.7
tm72662,"Now, Voyager",MOVIE,A woman suffers a nervous breakdown and an oppressive mother before being freed by the love of a man she meets on a cruise.,1942,,117,"['drama', 'romance']",['US'],,tt0035140,7.9,17740.0,9.279,7.4
tm95846,Brute Force,MOVIE,"Timeworn Joe Collins and his fellow inmates live under the heavy thumb of the sadistic, power-tripping guard Captain Munsey. Only Collins' dreams of escape keep him going, but how can he possibly bust out of Munsey's chains?",1947,,98,"['drama', 'thriller', 'crime']",['US'],,tt0039224,7.6,10780.0,6.465,7.3
tm62165,La Ronde,MOVIE,"An all-knowing interlocutor guides us through a series of affairs in Vienna, 1900. A soldier meets an eager young lady of the evening. Later he has an affair with a young lady, who becomes a maid and does similarly with the young man of the house. The young man seduces a married woman. On and on, spinning on the gay carousel of life.",1950,,110,"['drama', 'european', 'romance']",['FR'],,tt0042906,7.5,5650.0,5.953,7.6
tm137144,The Testament of Dr. Mabuse,MOVIE,"After a detective is assaulted by thugs and placed in an asylum run by Professor Baum, he observes the professor's preoccupation with another patient, the criminal genius Dr. Mabuse the hypnotist. When Mabuse's notes are found to be connected with a rash of recent crimes, Commissioner Lohmann must determine how Mabuse is communicating with the criminals, despite conflicting reports on the doctor's whereabouts, and capture him for good.",1933,,122,"['thriller', 'crime', 'european', 'horror']",['DE'],,tt0024651,8.0,12350.0,7.406,7.6
tm4161,Romance on the High Seas,MOVIE,Georgia Garrett is sent by jealous wife Elvira Kent on an ocean cruise to masquerade as herself while she secretly stays home to catch her husband cheating. Meanwhile equally suspicious husband Michael Kent has sent a private eye on the same cruise to catch his wife cheating. Love and confusion ensues along with plenty of musical numbers.,1948,,99,"['comedy', 'romance', 'music']",['US'],,tt0040745,7.0,2517.0,3.932,6.795
tm34570,The Infernal Cauldron,MOVIE,A green-skinned demon places a woman and two courtiers into a flaming cauldron.,1903,,2,['horror'],['FR'],,,,,3.505,6.2
tm115944,Rembrandt,MOVIE,"This character study joins the painter at the height of his fame in 1642, when his adored wife suddenly dies and his work takes a dark, sardonic turn that offends his patrons. By 1656, he is bankrupt but consoles himself with the company of pretty maid Hendrickje, whom he's unable to marry. Their relationship brings ostracism but also some measure of happiness. The final scenes find him in his last year, 1669, physically enfeebled but his spirit undimmed.",1936,,85,['drama'],['GB'],,tt0028167,7.1,1885.0,2.128,6.6
tm73245,Foreign Correspondent,MOVIE,"The European war was only beginning to erupt across national borders. Johnny Jones, an American crime reporter dispatched by his New York publisher to put a fresh spin on the drowsy dispatches emanating from overseas, has a nose for a good story—which promptly leads him to the crime of fascism and Nazi Germany's designs on European conquest. In attempting to learn more about a seemingly noble peace effort, Jones walks into the middle of an assassination, uncovers a spy ring and—not entirely coincidentally—falls in love.",1940,,120,"['thriller', 'war', 'action', 'romance']","['US', 'GB']",,tt0032484,7.4,21837.0,9.361,7.0
tm4311,Henry V,MOVIE,"In the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France in 1415.",1945,,137,"['drama', 'action', 'history', 'war']",['GB'],,tt0036910,7.0,6673.0,8.663,6.7
tm6099,Jezebel,MOVIE,"In 1850s Louisiana, the willfulness of a tempestuous Southern belle threatens to destroy all who care for her.",1938,,103,"['drama', 'romance']",['US'],,tt0030287,7.4,14087.0,8.662,7.2
tm163261,Of Mice and Men,MOVIE,An intellectually disabled giant and his level headed guardian find work at a sadistic cowboy's ranch in depression era America.,1940,PG,106,['drama'],['US'],,tt0031742,7.9,6303.0,6.857,7.3
tm5851,Oliver Twist,MOVIE,"When 9-year-old orphan Oliver Twist dares to ask his cruel taskmaster, Mr. Bumble, for a second serving of gruel, he's hired out as an apprentice. Escaping that dismal fate, young Oliver falls in with the street urchin known as the Artful Dodger and his criminal mentor, Fagin. When kindly Mr. Brownlow takes Oliver in, Fagin's evil henchman Bill Sikes plots to kidnap the boy.",1948,,116,['drama'],['GB'],,tt0040662,7.8,12953.0,13.95,7.5
tm100058,The Man Who Knew Too Much,MOVIE,"While vacationing in St. Moritz, a British couple receive a clue to an imminent assassination attempt, only to learn that their daughter has been kidnapped to keep them quiet.",1935,,75,"['thriller', 'drama', 'crime']",['GB'],,tt0025452,6.7,19792.0,10.637,6.45
tm88805,Monsieur Verdoux,MOVIE,"The film is about an unemployed banker, Henri Verdoux, and his sociopathic methods of attaining income. While being both loyal and competent in his work, Verdoux has been laid-off. To make money for his wife and child, he marries wealthy widows and then murders them. His crime spree eventually works against him when two particular widows break his normal routine.",1947,,119,"['comedy', 'drama', 'crime']",['US'],,tt0039631,7.8,18112.0,9.274,7.8
tm61720,Adam's Rib,MOVIE,"When a woman attempts to kill her uncaring husband, prosecutor Adam Bonner gets the case. Unfortunately for him his wife Amanda (who happens to be a lawyer too) decides to defend the woman in court. Amanda uses everything she can to win the case and Adam gets mad about it. As a result, their perfect marriage is disturbed by everyday quarrels.",1949,,101,"['comedy', 'drama', 'romance']",['US'],,tt0041090,7.5,21815.0,9.168,7.168
tm86380,Beauty and the Beast,MOVIE,"The story of a gentle-hearted beast in love with a simple and beautiful girl. She is drawn to the repellent but strangely fascinating Beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. She is unable to return the key on time, but it is revealed that the Beast is the genuinely handsome one. A simple tale of tragic love that turns into a surreal vision of death, desire, and beauty.",1946,,96,"['drama', 'fantasy', 'european', 'romance']",['FR'],,tt0038348,7.9,27000.0,9.136,7.5
tm4765,The Circus,MOVIE,"Charlie, a wandering tramp, becomes a circus handyman - soon the star of the show - and falls in love with the circus owner's stepdaughter.",1928,G,71,"['romance', 'comedy', 'family', 'european']",['US'],,tt0018773,8.1,34538.0,7.711,8.0
