person_id,id,name,character,role
14770,tm77588,Dewey Robinson,Bouncer at Rick's (uncredited),ACTOR
14771,tm77588,Richard Ryen,Col. Heinz - Strasser's Aide (uncredited),ACTOR
14773,tm77588,Dan Seymour,Abdul (uncredited),ACTOR
14774,tm77588,Lester Sharpe,Refugee (uncredited),ACTOR
14775,tm77588,Dina Smirnova,Woman Customer (uncredited),ACTOR
14776,tm77588,Gerald Oliver Smith,Pickpocketed Englishman (uncredited),ACTOR
14777,tm77588,George Sorel,Native Officer (uncredited),ACTOR
14779,tm77588,Geoffrey Steele,Customer (uncredited),ACTOR
14780,tm77588,Ludwig Stössel,Mr. Leuchtag (uncredited),ACTOR
14782,tm77588,Mike Tellegen,Gambler (uncredited),ACTOR
14781,tm77588,Rafael Trujillo,Man Turning Propeller at Airport (uncredited),ACTOR
14783,tm77588,Jacques Vanaire,Frenchman (uncredited),ACTOR
14785,tm77588,Ellinor Vanderveer,Woman Gambler at Rick's Next to Croupier (uncredited),ACTOR
14717,tm77588,Norma Varden,Wife of Pickpocketed Englishman (uncredited),ACTOR
14715,tm77588,Hans Heinrich von Twardowski,German Officer with Yvonne (uncredited),ACTOR
14784,tm77588,Jack Wise,Waiter (uncredited),ACTOR
14786,tm77588,Wolfgang Zilzer,Man with Expired Papers (uncredited),ACTOR
14787,tm77588,Trude Berliner,Baccarat Player at Rick's (uncredited),ACTOR
14788,tm77588,Paul Porcasi,Native Introducing Ferrari (uncredited),ACTOR
14789,tm77588,Max Linder,Gambler (uncredited),ACTOR
14790,tm77588,Frank Mazzola,Moroccan Boy (uncredited),ACTOR
14791,tm77588,Henry Rowland,German Officer (uncredited),ACTOR
14793,tm77588,Leo White,Emile - Waiter (uncredited),ACTOR
14792,tm77588,Paul Irving,Prosperous Tourist (uncredited),ACTOR
14794,tm77588,Brandon Beach,Guest at Rick's (uncredited),ACTOR
14795,tm77588,Victor Romito,Guest at Rick's (uncredited),ACTOR
22000,tm77588,Michael Mark,Vendor (uncredited),ACTOR
226483,tm77588,Bhogwan Singh,Merchant (uncredited),ACTOR
14797,tm77588,Michael Curtiz,,DIRECTOR
60017,tm155702,Judy Garland,Dorothy Gale,ACTOR
53496,tm155702,Ray Bolger,Hunk / Scarecrow,ACTOR
79549,tm155702,Jack Haley,Hickory / Tin Man,ACTOR
79548,tm155702,Bert Lahr,Zeke / Cowardly Lion,ACTOR
60995,tm155702,Margaret Hamilton,Miss Gulch / Wicked Witch of the West,ACTOR
53493,tm155702,Frank Morgan,Professor Marvel / The Wizard of Oz,ACTOR
79551,tm155702,Clara Blandick,Auntie Em,ACTOR
41661,tm155702,Charley Grapewin,Uncle Henry,ACTOR
72816,tm155702,Billie Burke,Glinda the Good Witch of the North,ACTOR
79553,tm155702,Pat Walshe,Nikko,ACTOR
79554,tm155702,Terry,Toto,ACTOR
6134,tm155702,Adriana Caselotti,Juliet (voice) (uncredited),ACTOR
34566,tm155702,Harry Earles,Lollipop Guild Member (uncredited),ACTOR
79583,tm155702,Jerry Maren,Lollipop Guild Member (uncredited),ACTOR
79600,tm155702,Parnell St. Aubin,Munchkin (uncredited),ACTOR
13768,tm155702,Billy Bletcher,Mayor / Lollipop Guild Member (voice) (uncredited),ACTOR
6139,tm155702,Pinto Colvig,Munchkins (voice) (uncredited),ACTOR
79550,tm155702,Charles Becker,Munchkin Mayor (uncredited),ACTOR
74888,tm155702,Mitchell Lewis,Captain of the Winkie Guard (uncredited),ACTOR
41687,tm155702,Buster Brodie,Winged Monkey (uncredited),ACTOR
79581,tm155702,Ethelreda Leopold,Emerald City Manicurist (uncredited),ACTOR
79565,tm155702,Billy Curtis,Munchkin,ACTOR
2627311,tm155702,Jimmy the Crow,(uncredited),ACTOR
13435,tm155702,Victor Fleming,,DIRECTOR
15246,tm83648,Orson Welles,Charles Foster Kane,ACTOR
15248,tm83648,Joseph Cotten,Jedediah Leland,ACTOR
15253,tm83648,Dorothy Comingore,Susan Alexander Kane,ACTOR
15258,tm83648,Ray Collins,Jim W. Gettys,ACTOR
15252,tm83648,George Coulouris,Walter Parks Thatcher,ACTOR
15249,tm83648,Agnes Moorehead,Mary Kane,ACTOR
15257,tm83648,Paul Stewart,Raymond,ACTOR
15250,tm83648,Ruth Warrick,Emily Norton Kane,ACTOR
15259,tm83648,Erskine Sanford,Herbert Carter,ACTOR
15247,tm83648,William Alland,Jerry Thompson/Narrator,ACTOR
15251,tm83648,Everett Sloane,Mr. Bernstein,ACTOR
15260,tm83648,Fortunio Bonanova,Signor Matiste,ACTOR
15261,tm83648,Gus Schilling,John,ACTOR
15254,tm83648,Philip Van Zandt,Mr. Rawlston,ACTOR
15262,tm83648,Georgia Backus,Bertha Anderson,ACTOR
15256,tm83648,Harry Shannon,Jim Kane,ACTOR
15263,tm83648,Sonny Bupp,Charles Foster Kane III,ACTOR
15255,tm83648,Buddy Swan,Young Charles Foster Kane,ACTOR
15270,tm83648,Gregg Toland,Interviewer,ACTOR
15264,tm83648,Don Ackerman,Man at Party in Everglades (uncredited),ACTOR
15266,tm83648,Nat King Cole,Pianist in 'El Rancho' (uncredited),ACTOR
13367,tm83648,Gino Corrado,Gino (uncredited),ACTOR
15267,tm83648,Maurice Costello,Extra (uncredited),ACTOR
572312,tm83648,Demetrius Alexis,Newsreel Man (uncredited),ACTOR
100405,tm83648,Gene Coogan,Newsreel Man (uncredited),ACTOR
571680,tm83648,Art Dupuis,Newsreel Man (uncredited),ACTOR
71398,tm83648,Rudy Germane,Newsreel Man (uncredited),ACTOR
71393,tm83648,Mike Lally,Newsreel Man (uncredited),ACTOR
571576,tm83648,Walter Lawrence,Newsreel Man (uncredited),ACTOR
153531,tm83648,John Northpole,Newsreel Man (uncredited),ACTOR
14795,tm83648,Victor Romito,Newsreel Man (uncredited),ACTOR
134046,tm83648,Bob Terry,Newsreel Man (uncredited),ACTOR
153890,tm83648,William Alston,Man at Xanadu Great Hall (uncredited),ACTOR
57850,tm83648,Jack Gargan,Man at Xanadu Great Hall (uncredited),ACTOR
27201,tm83648,Bert Moorhouse,Man at Xanadu Great Hall (uncredited),ACTOR
574453,tm83648,Carmen Laroux,Maid in Xanadu Hall (uncredited),ACTOR
27209,tm83648,Sam Ash,Man at Boat Dock (uncredited),ACTOR
582859,tm83648,Buddy Messinger,Man at Boat Dock (uncredited),ACTOR
572681,tm83648,Terrance Ray,Man at Boat Dock (uncredited),ACTOR
93832,tm83648,Sally Corner,Woman at Boat Dock (uncredited),ACTOR
22486,tm83648,Walter Bacon,City Room Employee (uncredited),ACTOR
155779,tm83648,Herbert Corthell,City Editor (uncredited),ACTOR
27211,tm83648,Harry A. Bailey,Man Singing at Inquirer Party (uncredited),ACTOR
15265,tm83648,Danny Borzage,Man Singing at Inquirer Party (uncredited),ACTOR
617295,tm83648,J.J. Clark,Man Singing at Inquirer Party (uncredited),ACTOR
32290,tm83648,Tom Coleman,Man Singing at Inquirer Party (uncredited),ACTOR
14740,tm83648,Carl Deloro,Man Singing at Inquirer Party (uncredited),ACTOR
27256,tm83648,Jack Egan,Man Singing at Inquirer Party (uncredited),ACTOR
82246,tm83648,Robert Haines,Man Singing at Inquirer Party (uncredited),ACTOR
153420,tm83648,Ludwig Lowry,Man Singing at Inquirer Party (uncredited),ACTOR
154456,tm83648,John McCormack,Man Singing at Inquirer Party (uncredited),ACTOR
81685,tm83648,Hercules Mendez,Man Singing at Inquirer Party (uncredited),ACTOR
133013,tm83648,Paddy O'Flynn,Man Singing at Inquirer Party (uncredited),ACTOR
153575,tm83648,Sam Rice,Man Singing at Inquirer Party (uncredited),ACTOR
556300,tm83648,Don Roberts,Man Singing at Inquirer Party (uncredited),ACTOR
47833,tm83648,Larry Wheat,Man Singing at Inquirer Party (uncredited),ACTOR
153014,tm83648,Larry Williams,Man Singing at Inquirer Party (uncredited),ACTOR
137752,tm83648,Joan Blair,Georgia (uncredited),ACTOR
213378,tm83648,Morgan Brown,Servant (uncredited),ACTOR
27223,tm83648,Harry Burkhardt,Wedding Guest (uncredited),ACTOR
27234,tm83648,Edmund Cobb,Inquirer Reporter (uncredited),ACTOR
27235,tm83648,Eddie Coke,Reporter (uncredited),ACTOR
21787,tm83648,Louis Natheaux,Reporter (uncredited),ACTOR
29535,tm83648,Arthur O'Connell,Reporter (uncredited),ACTOR
434612,tm83648,Guy Repp,Reporter (uncredited),ACTOR
137457,tm83648,Tom Steele,Reporter (uncredited),ACTOR
64194,tm83648,Richard Wilson,Reporter (uncredited),ACTOR
133997,tm83648,Louise Currie,Reporter at Xanadu (uncredited),ACTOR
27325,tm83648,Walter Sande,Reporter at Xanadu (uncredited),ACTOR
133965,tm83648,Jan Wiley,Reporter at Xanadu (uncredited),ACTOR
20176,tm83648,Milton Kibbee,Reporter at Wedding (uncredited),ACTOR
573158,tm83648,Buck Mack,Reporter at Boat Deck (uncredited),ACTOR
15268,tm83648,Alan Ladd,Reporter Smoking Pipe at End (uncredited),ACTOR
100213,tm83648,Thomas A. Curran,Teddy Roosevelt (uncredited),ACTOR
22003,tm83648,Jack Curtis,Boss Printer (uncredited),ACTOR
79588,tm83648,George Noisom,Copy Boy (uncredited),ACTOR
151969,tm83648,Gerald Pierce,Copy Boy Delivering Message in Chicago Hotel Room (uncredited),ACTOR
569607,tm83648,Dona Dax,House Maid (uncredited),ACTOR
64863,tm83648,George DeNormand,Newspaperman at Trenton Town Hall (uncredited),ACTOR
90207,tm83648,Bud Geary,Newspaperman at Trenton Town Hall (uncredited),ACTOR
71898,tm83648,Bert LeBaron,Newspaperman at Trenton Town Hall (uncredited),ACTOR
24725,tm83648,Clyde McAtee,Newspaperman at Trenton Town Hall (uncredited),ACTOR
58329,tm83648,Cyril Ring,Newspaperman at Trenton Town Hall (uncredited),ACTOR
118770,tm83648,Roland Winters,Newspaperman at Trenton Town Hall (uncredited),ACTOR
105449,tm83648,Lew Harvey,Newspaperman (uncredited),ACTOR
15269,tm83648,Herman J. Mankiewicz,Newspaperman (uncredited),ACTOR
151253,tm83648,Eddie Dew,Man in Projection Room (uncredited),ACTOR
96349,tm83648,Perc Launders,Man in Projection Room (uncredited),ACTOR
27251,tm83648,John Dilson,Ward Heeler (uncredited),ACTOR
21783,tm83648,Walter James,Ward Heeler (uncredited),ACTOR
27253,tm83648,Robert Dudley,Photographer (uncredited),ACTOR
153182,tm83648,Suzanne Dulier,French Maid (uncredited),ACTOR
62604,tm83648,Al Eben,Solly (uncredited),ACTOR
71563,tm83648,Johnny Eckert,Car-Driver (uncredited),ACTOR
570601,tm83648,Carl Ekberg,Adolf Hitler (uncredited),ACTOR
24013,tm83648,Edith Evanson,Leland's Nurse (uncredited),ACTOR
134167,tm83648,Carl Faulkner,Hermann Goring (uncredited),ACTOR
154839,tm83648,Juanita Fields,Dancer (uncredited),ACTOR
574262,tm83648,Edna Mae Jones,Dancer (uncredited),ACTOR
71327,tm83648,Leda Nicova,Dancer (uncredited),ACTOR
13408,tm83648,Jolane Reynolds,Dancer (uncredited),ACTOR
13410,tm83648,Suzanne Ridgway,Dancer (uncredited),ACTOR
74242,tm83648,Olin Francis,Expressman (uncredited),ACTOR
347700,tm83648,Louise Franklin,Susan's Maid (uncredited),ACTOR
554394,tm83648,Renee Godfrey,Nurse (uncredited),ACTOR
568169,tm83648,Peter Gowland,Guest (uncredited),ACTOR
573415,tm83648,Jimmy Grant,Man at Party in Everglades (uncredited),ACTOR
27266,tm83648,Jesse Graves,Joseph (uncredited),ACTOR
570241,tm83648,Ernest Grooney,Man on Hospital Roof (uncredited),ACTOR
572492,tm83648,Jack Gwynne,Man on Hospital Roof (uncredited),ACTOR
574022,tm83648,Teddy Mangean,Man on Roof (uncredited),ACTOR
27271,tm83648,Henry Hebert,Best Man at Wedding (uncredited),ACTOR
93424,tm83648,Bryan 'Slim' Hightower,Fish Driver (uncredited),ACTOR
27276,tm83648,Mitchell Ingraham,Politician (uncredited),ACTOR
41705,tm83648,Philip Morris,Politician (uncredited),ACTOR
62996,tm83648,Francis Sayles,Politician (uncredited),ACTOR
574764,tm83648,George W. Jimenez,Waiter at Inquirer Party (uncredited),ACTOR
155759,tm83648,Ellen Lowe,Ms. Townsend (uncredited),ACTOR
34481,tm83648,James T. Mack,Prompter (uncredited),ACTOR
572646,tm83648,Mickey Martin,Newsboy (uncredited),ACTOR
47819,tm83648,Bruce Sidney,Newsman (uncredited),ACTOR
571740,tm83648,Major McBride,Shadowgraph Man (uncredited),ACTOR
22485,tm83648,Frank McLure,(uncredited),ACTOR
133900,tm83648,Charles Meakin,Civic Leader (uncredited),ACTOR
604507,tm83648,Edward Peil Jr.,Civic Leader (uncredited),ACTOR
570805,tm83648,Irving Mitchell,Dr. Corey (uncredited),ACTOR
152190,tm83648,Frances E. Neal,Ethel (uncredited),ACTOR
573040,tm83648,Lillian Nicholson,Woman at Opera (uncredited),ACTOR
50362,tm83648,Joseph North,Secretary (uncredited),ACTOR
21359,tm83648,William H. O'Brien,Secretary (uncredited),ACTOR
27313,tm83648,Field Norton,Opera Spectator (uncredited),ACTOR
310133,tm83648,Dick Scott,Opera Spectator (uncredited),ACTOR
27315,tm83648,Frank O'Connor,Man at Madison Square Garden (uncredited),ACTOR
21789,tm83648,Russ Powell,Man at Madison Square Garden (uncredited),ACTOR
22474,tm83648,Bert Stevens,Man at Madison Square Garden (uncredited),ACTOR
74823,tm83648,Thomas Pogue,Man (uncredited),ACTOR
554381,tm83648,Lillian O'Malley,Woman in Front of Chronicle Building (uncredited),ACTOR
134280,tm83648,Jack Raymond,Stagehand (uncredited),ACTOR
250452,tm83648,Gohr Van Vleck,Stagehand (uncredited),ACTOR
617292,tm83648,Myrtle Rishell,Big Governess (uncredited),ACTOR
40712,tm83648,Benny Rubin,Smather (uncredited),ACTOR
29590,tm83648,Shimen Ruskin,Hireling (uncredited),ACTOR
424403,tm83648,George Sherwood,Hireling (uncredited),ACTOR
154040,tm83648,Edward Ryan,Man in Inquirer City Room (uncredited),ACTOR
27334,tm83648,Landers Stevens,Senate Investigator (uncredited),ACTOR
35528,tm83648,Harry J. Vejar,Portuguese Laborer (uncredited),ACTOR
155741,tm83648,Tudor Williams,Chorus Master (uncredited),ACTOR
573327,tm83648,Arthur Yeoman,Speaker (uncredited),ACTOR
97873,tm83648,Tim Davis,Copy Boy (uncredited),ACTOR
156178,tm83648,Charles Bennett,Entertainer	 (uncredited),ACTOR
1098373,tm83648,Arthur Kay,Orchestra Leader (Uncredited),ACTOR
74238,tm83648,John Alban,Reporter (uncredited),ACTOR
15246,tm83648,Orson Welles,,DIRECTOR
60017,tm3175,Judy Garland,Esther Smith,ACTOR
65426,tm3175,Margaret O'Brien,"""Tootie"" Smith",ACTOR
27563,tm3175,Mary Astor,Mrs. Anna Smith,ACTOR
65427,tm3175,Lucille Bremer,Rose Smith,ACTOR
65428,tm3175,Leon Ames,Mr. Alonzo Smith,ACTOR
65429,tm3175,Tom Drake,John Truett,ACTOR
65181,tm3175,Marjorie Main,Katie (Maid),ACTOR
13316,tm3175,Harry Davenport,Grandpa,ACTOR
65430,tm3175,June Lockhart,Lucille Ballard,ACTOR
65431,tm3175,Henry H. Daniels Jr.,Lon Smith Jr.,ACTOR
65432,tm3175,Joan Carroll,Agnes Smith,ACTOR
53357,tm3175,Hugh Marlowe,Col. Darly,ACTOR
65433,tm3175,Robert Sully,Warren Sheffield,ACTOR
35551,tm3175,Chill Wills,Mr. Neely,ACTOR
2019451,tm3175,Sidney Barnes,Hugo Borvis (uncredited),ACTOR
2664485,tm3175,Judi Blacque,Girl on Trolley (uncredited),ACTOR
60246,tm3175,Victor Cox,Driver (uncredited),ACTOR
36498,tm3175,Donald Curtis,Dr. Girard (uncredited),ACTOR
1794307,tm3175,Danny Daniels,Boy at Party (uncredited),ACTOR
2664636,tm3175,Kenneth Donner,Hugo Gorman (uncredited),ACTOR
567393,tm3175,Mary Jo Ellis,Ida Boothby (uncredited),ACTOR
152026,tm3175,Helen Gilbert,Girl on Trolley (uncredited),ACTOR
94601,tm3175,Buddy Gorman,Sidney Gorcey (uncredited),ACTOR
50373,tm3175,Gary Gray,Boy at Pavilion (uncredited),ACTOR
33003,tm3175,Sam Harris,Mr. March (uncredited),ACTOR
18612,tm3175,Darryl Hickman,Johnny Tevis (uncredited),ACTOR
2664505,tm3175,Charlotte Hunter,Girl in Blue on Trolley (uncredited),ACTOR
134048,tm3175,Victor Kilian,Baggage Man (uncredited),ACTOR
575462,tm3175,Beverly Luff,Girl on the Trolley / Singer (uncredited),ACTOR
53969,tm3175,Matt Mattox,Boy at Party (uncredited),ACTOR
1591359,tm3175,Bert May,Boy at Party (uncredited),ACTOR
516572,tm3175,Belle Mitchell,Mrs. Braukoff (uncredited),ACTOR
1061940,tm3175,Mayo Newhall,Mr. Braukoff (uncredited),ACTOR
631750,tm3175,Sid Newman,Boy on Trolley (uncredited),ACTOR
31161,tm3175,Robert Emmett O'Connor,Motorman (uncredited),ACTOR
1539670,tm3175,John Phipps,Mailman (uncredited),ACTOR
2664703,tm3175,Ellen Ray,Girl on Trolley (uncredited),ACTOR
467165,tm3175,Dorothy Raye,Girl at Party (uncredited),ACTOR
2664699,tm3175,Beth Renner,Girl on Trolley (uncredited),ACTOR
18277,tm3175,William Smith,Little Boy (uncredited),ACTOR
2664570,tm3175,Myron Tobias,George (uncredited),ACTOR
572817,tm3175,Dorothy Tuttle,Girl on Trolley (uncredited),ACTOR
207721,tm3175,Leonard Walker,Conductor (uncredited),ACTOR
574297,tm3175,Kenneth Wilson,Quentin (uncredited),ACTOR
28852,tm3175,Vincente Minnelli,,DIRECTOR
10548,ts225761,Mel Blanc,Tom (voice)/Jerry (voice),ACTOR
46445,ts225761,William Hanna,Tom (voice),ACTOR
12876,ts225761,June Foray,Jerry (voice)/Tom (voice),ACTOR
13768,ts225761,Billy Bletcher,Spike (voice),ACTOR
70127,ts225761,Harry Lang,Butch (voice)/Jasper (voice),ACTOR
137924,ts225761,Rudolf Ising,,DIRECTOR
46445,ts225761,William Hanna,,DIRECTOR
39141,ts225761,Ben Washam,,DIRECTOR
46444,ts225761,Joseph Barbera,,DIRECTOR
39140,ts225761,Chuck Jones,,DIRECTOR
107330,ts225761,Abe Levitow,,DIRECTOR
134981,ts225761,Maurice Noble,,DIRECTOR
13298,tm156463,Vivien Leigh,Scarlett O'Hara,ACTOR
13299,tm156463,Clark Gable,Rhett Butler,ACTOR
13300,tm156463,Olivia de Havilland,Melanie Hamilton,ACTOR
13303,tm156463,Leslie Howard,Ashley Wilkes,ACTOR
13310,tm156463,Hattie McDaniel,Mammy,ACTOR
13301,tm156463,Thomas Mitchell,Gerald O'Hara,ACTOR
13304,tm156463,Barbara O'Neil,Ellen O'Hara,ACTOR
13305,tm156463,Evelyn Keyes,Suellen O'Hara,ACTOR
13306,tm156463,Ann Rutherford,Carreen O'Hara,ACTOR
13307,tm156463,George Reeves,Brent Tarleton,ACTOR
13308,tm156463,Fred Crane,Stuart Tarleton,ACTOR
13311,tm156463,Oscar Polk,Pork,ACTOR
13312,tm156463,Butterfly McQueen,Prissy,ACTOR
13346,tm156463,Victor Jory,Jonas Wilkerson,ACTOR
13345,tm156463,Everett Brown,'Big Sam',ACTOR
13344,tm156463,Howard Hickman,John Wilkes,ACTOR
13343,tm156463,Alicia Rhett,India Wilkes,ACTOR
13342,tm156463,Rand Brooks,Charles Hamilton,ACTOR
13341,tm156463,Carroll Nye,Frank Kennedy,ACTOR
13340,tm156463,Laura Hope Crews,Aunt 'Pittypat' Hamilton,ACTOR
13339,tm156463,Eddie 'Rochester' Anderson,Aunt Pittypat's Coachman 'Uncle Peter',ACTOR
13316,tm156463,Harry Davenport,Dr. Meade,ACTOR
13317,tm156463,Leona Roberts,Mrs. Caroline Meade,ACTOR
13336,tm156463,Jane Darwell,Mrs. Merriwether,ACTOR
13335,tm156463,Ona Munson,Belle Watling,ACTOR
13338,tm156463,Paul Hurst,Yankee Deserter,ACTOR
13337,tm156463,Isabel Jewell,Emmy Slattery,ACTOR
13318,tm156463,Cammie King,Bonnie Blue Butler,ACTOR
13319,tm156463,Eric Linden,Amputation Case,ACTOR
13321,tm156463,J. M. Kerrigan,Johnny Gallagher,ACTOR
13323,tm156463,Ward Bond,Tom the Yankee Captain,ACTOR
13324,tm156463,Jackie Moran,Phil Meade,ACTOR
13325,tm156463,Cliff Edwards,Reminiscent Soldier,ACTOR
13326,tm156463,Lillian Kemble-Cooper,Bonnie's Nurse in London,ACTOR
13327,tm156463,Yakima Canutt,Renegade,ACTOR
13314,tm156463,Marcella Martin,Cathleen Calvert,ACTOR
13328,tm156463,Louis Jean Heydt,Hungry Soldier Holding Beau Wilkes,ACTOR
13329,tm156463,Mickey Kuhn,Beau Wilkes,ACTOR
13330,tm156463,Olin Howland,A Carpetbagger Businessman,ACTOR
13331,tm156463,Irving Bacon,Corporal,ACTOR
13332,tm156463,Robert Elliott,Yankee Major,ACTOR
13333,tm156463,William Bakewell,Mounted Officer,ACTOR
13334,tm156463,Mary Anderson,Maybelle Merriwether,ACTOR
13347,tm156463,John Albright,Wounded Soldier (uncredited),ACTOR
13349,tm156463,Eric Alden,Rafe Calvert (uncredited),ACTOR
13351,tm156463,John Arledge,Dying Soldier (uncredited),ACTOR
13350,tm156463,Roscoe Ates,Convalescent Soldier (uncredited),ACTOR
13348,tm156463,Trevor Bardette,Minor Role (uncredited),ACTOR
13352,tm156463,Lennie Bluett,Yankee Soldier in Shantytown / Townsperson (uncredited),ACTOR
13353,tm156463,Ralph Brooks,Gentleman at Twelve Oaks Barbecue (uncredited),ACTOR
13354,tm156463,Daisy Bufford,Housemaid at Evening Prayers (uncredited),ACTOR
13355,tm156463,Ann Bupp,Minor Role (uncredited),ACTOR
13356,tm156463,James Bush,Gentleman (uncredited),ACTOR
13357,tm156463,Ruth Byers,Housemaid at Evening Prayers (uncredited),ACTOR
13358,tm156463,Gary Carlson,Beau Wilkes (uncredited),ACTOR
13361,tm156463,Horace B. Carpenter,Atlanta Citizen (uncredited),ACTOR
13360,tm156463,Louise Carter,Bandleader's Wife (uncredited),ACTOR
13359,tm156463,Shirley Chambers,Belle's Girl (uncredited),ACTOR
13362,tm156463,Eddy Chandler,Sergeant at Hospital (uncredited),ACTOR
13363,tm156463,Wallis Clark,Poker-Playing Captain (uncredited),ACTOR
